time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-01-09T10:34:47.580Z,41.911,-126.1637,10,3.2,ml,,254,1.474,0.89,us,us2000j1uh,2019-04-02T20:51:39.040Z,"154km WSW of Gold Beach, Oregon",earthquake,5,2,0.049,54,reviewed,us,us
2019-01-04T22:58:43.690Z,41.8581,-126.0612,10,4.1,mb,,192,1.412,0.72,us,us2000j0ej,2019-03-08T17:50:15.040Z,"148km W of Brookings, Oregon",earthquake,7.7,2,0.062,72,reviewed,us,us
2018-12-21T14:25:58.870Z,40.5841,-127.2075,10,2.7,ml,,255,2.19,1.07,us,us2000iw6b,2019-02-23T20:22:20.040Z,"249km W of Ferndale, California",earthquake,4.5,2,0.058,39,reviewed,us,us
2018-12-19T20:04:39.850Z,40.5419,-127.2212,10,3.2,ml,,285,2.199,0.63,us,us2000iv8r,2019-02-23T20:20:54.040Z,"250km W of Ferndale, California",earthquake,5.1,2,0.066,30,reviewed,us,us
2018-12-16T03:10:35.420Z,40.4853,-127.1473,14.75,3.1,ml,,298,2.192,0.71,us,us2000iuy5,2019-02-16T22:29:10.040Z,"244km W of Ferndale, California",earthquake,6.7,9.1,0.087,8,reviewed,nc,nc
2018-12-11T13:34:03.540Z,42.2724,-126.9069,10,3.1,ml,,273,1.991,0.29,us,us2000iuq2,2019-02-16T22:29:04.040Z,"204km WSW of Port Orford, Oregon",earthquake,11.3,2,0.052,48,reviewed,us,us
2018-12-11T06:33:56.860Z,42.3517,-126.5191,10,3,ml,,295,1.707,0.6,us,us2000isfp,2019-02-16T22:29:04.040Z,"171km WSW of Port Orford, Oregon",earthquake,10.2,2,0.062,34,reviewed,us,us
2018-12-02T20:54:10.260Z,40.4326667,-125.8796667,16.2,2.88,md,20,290,1.178,0.27,nc,nc73118336,2018-12-04T03:35:02.712Z,"136km W of Petrolia, CA",earthquake,6.71,9.53,0.107,26,reviewed,nc,nc
2018-11-22T05:02:49.590Z,40.4076667,-125.4068333,19.58,3.13,ml,62,250,0.8189,0.27,nc,nc73113891,2019-02-02T20:02:28.040Z,"96km W of Petrolia, CA",earthquake,2.16,4.9,0.249,17,reviewed,nc,nc
2018-11-18T11:28:21.840Z,40.414,-125.5541667,20.84,3.11,ml,55,255,0.9306,0.26,nc,nc73112376,2019-01-30T18:36:26.040Z,"108km W of Petrolia, CA",earthquake,2.71,6.18,0.246,13,reviewed,nc,nc
2018-11-16T12:44:15.750Z,42.4625,-126.3095,10,3.9,mb,,177,1.564,1.31,us,us1000hspv,2019-01-30T18:36:25.040Z,"151km WSW of Port Orford, Oregon",earthquake,8,2,0.21,10,reviewed,us,us
2018-11-16T10:44:58.850Z,42.3344,-126.8885,10,4.3,mb,,185,1.979,1.32,us,us1000hsnv,2019-01-30T18:36:25.040Z,"201km WSW of Port Orford, Oregon",earthquake,5.9,2,0.081,66,reviewed,us,us
2018-11-16T06:41:39.960Z,42.3724,-126.4818,10,3.8,mb,,212,1.681,0.82,us,us1000hske,2019-01-30T18:36:25.040Z,"168km WSW of Port Orford, Oregon",earthquake,7.8,2,0.192,7,reviewed,us,us
2018-11-16T05:21:57.810Z,42.3753,-126.6854,10,4.5,mb,,184,1.831,1.2,us,us1000hsji,2019-01-30T18:36:24.040Z,"184km WSW of Port Orford, Oregon",earthquake,6.8,1.9,0.089,37,reviewed,us,us
2018-11-16T05:19:19.360Z,42.263,-126.8955,10,4.1,mb,,200,1.983,0.72,us,us1000hsjg,2019-01-30T18:36:24.040Z,"204km W of Gold Beach, Oregon",earthquake,8.5,2,0.12,19,reviewed,us,us
2018-11-16T05:10:00.130Z,42.2852,-126.6826,10,3.9,mb,,214,1.825,0.94,us,us1000hsj9,2019-01-30T18:36:24.040Z,"186km W of Gold Beach, Oregon",earthquake,8.6,2,0.171,9,reviewed,us,us
2018-11-09T06:42:46.880Z,42.055,-126.0683,10,2.8,ml,,228,1.379,1,us,us1000hpky,2019-01-21T16:42:54.040Z,"141km WSW of Gold Beach, Oregon",earthquake,6.4,2,0.042,74,reviewed,us,us
2018-10-31T05:17:22.920Z,42.3895,-126.8077,10,2.9,ml,,303,1.923,0.85,us,us2000i4f4,2019-01-21T14:29:40.040Z,"193km W of Port Orford, Oregon",earthquake,5.1,2,0.057,40,reviewed,us,us
2018-10-28T17:18:51.530Z,40.5487,-127.1259,10,3.2,ml,,284,2.295,0.79,us,us2000i5zi,2019-01-10T17:18:44.040Z,"242km W of Ferndale, California",earthquake,10.2,2,0.053,46,reviewed,us,us
2018-10-27T02:02:29.970Z,40.4386,-127.2484,10,3.1,ml,,271,2.387,0.95,us,us1000hhuw,2019-01-10T17:18:39.040Z,"253km W of Ferndale, California",earthquake,11.7,2,0.051,50,reviewed,us,us
2018-10-26T11:45:57.870Z,40.4373333,-125.234,23.04,2.94,md,23,282,0.6851,0.28,nc,nc73102446,2018-10-27T03:47:02.261Z,"81km W of Petrolia, CA",earthquake,1.92,31.61,0.115,50,reviewed,nc,nc
2018-10-25T19:14:29.380Z,41.2891667,-125.8791667,16.92,3.2,ml,40,277,1.406,0.17,nc,nc73102201,2019-01-10T17:18:37.040Z,"148km W of Trinidad, CA",earthquake,2.25,4.19,0.243,13,reviewed,nc,nc
2018-10-24T00:21:21.400Z,43.6948,-127.6956,10,4.5,mb,,169,2.644,0.7,us,us1000hgcv,2019-01-10T17:18:35.040Z,"273km WNW of Bandon, Oregon",earthquake,8.5,1.9,0.081,45,reviewed,us,us
2018-10-23T00:59:11.670Z,40.4081,-126.902,9.15,3,ml,,246,1.958,0.7,us,us1000hfwf,2019-01-10T17:18:34.040Z,"224km W of Ferndale, California",earthquake,8,12.9,0.042,75,reviewed,us,us
2018-10-22T04:17:20.910Z,43.6333,-127.9833,10,3.2,ml,,250,2.856,0.82,us,us1000hffx,2019-01-10T17:18:33.040Z,"295km WNW of Bandon, Oregon",earthquake,11,2,0.043,72,reviewed,us,us
2018-10-14T05:10:21.110Z,41.8751,-125.9858,10,3,ml,,240,1.353,0.96,us,us1000hbw2,2018-12-21T21:15:52.040Z,"142km W of Brookings, Oregon",earthquake,6.8,2,0.04,84,reviewed,us,us
2018-10-12T16:07:33.550Z,40.5626667,-125.6325,10.05,3.3,ml,49,257,0.9911,0.22,nc,nc73096431,2018-12-21T21:15:50.040Z,"116km W of Ferndale, CA",earthquake,2.55,3.27,0.14,15,reviewed,nc,nc
2018-10-11T00:39:26.150Z,40.4363333,-125.539,23.98,3.18,ml,19,293,0.9176,0.28,nc,nc73096031,2018-12-21T21:15:49.040Z,"107km W of Petrolia, CA",earthquake,2.18,21.86,0.127,8,reviewed,nc,nc
2018-10-08T15:15:08.090Z,41.3378333,-125.3891667,5.02,3.83,mw,24,263,0.9929,0.15,nc,nc73095076,2018-12-21T21:15:47.040Z,"109km WNW of Trinidad, CA",earthquake,2.37,14.46,,3,reviewed,nc,nc
2018-10-08T10:35:11.570Z,40.417,-125.4783333,13.37,2.81,md,22,283,0.8726,0.24,nc,nc73095046,2018-10-10T05:59:03.444Z,"102km W of Petrolia, CA",earthquake,6.97,8.83,0.154,26,reviewed,nc,nc
2018-10-06T06:31:32.170Z,43.8069,-127.8888,10,4.3,mb,,189,2.781,0.92,us,us1000h80u,2018-12-14T20:32:43.040Z,"291km WNW of Bandon, Oregon",earthquake,9.4,2,0.097,30,reviewed,us,us
2018-10-02T07:26:18.930Z,40.5429,-126.9827,10,3,ml,,248,2.186,1.22,us,us1000h5ir,2018-12-14T20:32:39.040Z,"230km W of Ferndale, California",earthquake,4.5,2,0.046,62,reviewed,us,us
